Δt,Euler (y error),Euler (v error),Euler-Cromer (y error),Euler-Cromer (v error),Euler-Richardson (y error),Euler-Richardson (v error)
0.2,0.07796340493237865,3.6252180395923475e-16,0.0779634049323788,3.6252180395923475e-16,1.4131717099445114e-16,3.6252180395923475e-16
0.1,0.038730075088920825,3.625218039592347e-16,0.03873007508892139,3.625218039592347e-16,1.4040496688712294e-16,3.625218039592347e-16
0.05,0.019302737837305572,7.250436079184694e-16,0.019302737837305434,7.250436079184694e-16,4.1985980052792994e-16,7.250436079184694e-16
0.01,0.003850637188771747,5.256566157408904e-15,0.0038506371887740503,5.256566157408904e-15,1.5355339340731166e-15,5.256566157408904e-15
0.005,0.0019247009839552355,9.788088706899338e-15,0.0019247009839532818,9.788088706899338e-15,2.093238218355658e-15,9.788088706899338e-15
0.001,0.00038484143615955885,2.936426612069802e-14,0.000384841436171278,2.936426612069802e-14,6.836157172170383e-15,2.936426612069802e-14
0.0005,0.00019248734720256588,1.7034266219529151e-13,0.00019248734713503488,1.7034266219529151e-13,3.390502186732877e-14,1.7034266219529151e-13
0.0001,3.8481922120602315e-05,2.9763040105053174e-13,3.848192228103348e-05,2.9763040105053174e-13,9.081798842292809e-14,2.9763040105053174e-13
